,Вакансия,Оплата_min,Оплата_max,Валюта,Сылка на вакансию,Источник
112,Middle Backend Developer (Python),,2.0,USD,https://krasnodar.hh.ru/vacancy/47757962?from=vacancy_search_list&query=Python,https://hh.ru
113,Middle Python Developer,130.0,190.0,руб.,https://krasnodar.hh.ru/vacancy/48015939?from=vacancy_search_list&query=Python,https://hh.ru
114,Разработчик Python,,,,https://krasnodar.hh.ru/vacancy/47731039?from=vacancy_search_list&query=Python,https://hh.ru
115,QA Automation (Python/WEB),,,,https://krasnodar.hh.ru/vacancy/48481543?from=vacancy_search_list&query=Python,https://hh.ru
116,Python- разработчик,,,,https://krasnodar.hh.ru/vacancy/48409445?from=vacancy_search_list&query=Python,https://hh.ru
117,Разработчик Python (backend),,,,https://krasnodar.hh.ru/vacancy/48417499?from=vacancy_search_list&query=Python,https://hh.ru
118,Senior Python Developer (cybersecurity),200.0,300.0,руб.,https://krasnodar.hh.ru/vacancy/47375142?from=vacancy_search_list&query=Python,https://hh.ru
119,Разработчик Python,55.0,,руб.,https://krasnodar.hh.ru/vacancy/47101131?from=vacancy_search_list&query=Python,https://hh.ru
120,Python developer (remote),220.0,,руб.,https://krasnodar.hh.ru/vacancy/47987072?from=vacancy_search_list&query=Python,https://hh.ru
121,Ведущий Python разработчик,,,,https://krasnodar.hh.ru/vacancy/48170960?from=vacancy_search_list&query=Python,https://hh.ru
122,Senior Python developer,,,,https://krasnodar.hh.ru/vacancy/48319936?from=vacancy_search_list&query=Python,https://hh.ru
123,Python developer,,,,https://krasnodar.hh.ru/vacancy/44270356?from=vacancy_search_list&query=Python,https://hh.ru
124,Python developer (remote),220.0,,руб.,https://krasnodar.hh.ru/vacancy/47987028?from=vacancy_search_list&query=Python,https://hh.ru
125,Python-разработчик в отдел информационных технологий распространения данных ДЗЗ,140.0,,руб.,https://krasnodar.hh.ru/vacancy/48378937?from=vacancy_search_list&query=Python,https://hh.ru
126,Senior Python Programmer,4.0,5.0,USD,https://krasnodar.hh.ru/vacancy/47965482?from=vacancy_search_list&query=Python,https://hh.ru
127,Разработчик Python,,,,https://krasnodar.hh.ru/vacancy/43068966?from=vacancy_search_list&query=Python,https://hh.ru
128,Программист Python (Middle),100.0,160.0,руб.,https://krasnodar.hh.ru/vacancy/46205242?from=vacancy_search_list&query=Python,https://hh.ru
129,Senior Machine Learning Engineer (remote),5.0,,USD,https://krasnodar.hh.ru/vacancy/48351031?from=vacancy_search_list&query=Python,https://hh.ru
130,Python Developer (SberDevices),,,,https://krasnodar.hh.ru/vacancy/47305756?from=vacancy_search_list&query=Python,https://hh.ru
131,Python Developer,,,,https://krasnodar.hh.ru/vacancy/48476399?from=vacancy_search_list&query=Python,https://hh.ru
132,Python-розробник,,,,https://krasnodar.hh.ru/vacancy/48281357?from=vacancy_search_list&query=Python,https://hh.ru
133,Middle Python developer,,,,https://krasnodar.hh.ru/vacancy/48087131?from=vacancy_search_list&query=Python,https://hh.ru
134,Старший python-разработчик,170.0,220.0,руб.,https://krasnodar.hh.ru/vacancy/47870291?from=vacancy_search_list&query=Python,https://hh.ru
135,Backend разработчик Python,,,,https://krasnodar.hh.ru/vacancy/48160439?from=vacancy_search_list&query=Python,https://hh.ru
136,Веб-разработчик Python/Django/React,,,,https://krasnodar.hh.ru/vacancy/48386188?from=vacancy_search_list&query=Python,https://hh.ru
137,Middle/Senior Python Developer,130.0,220.0,руб.,https://krasnodar.hh.ru/vacancy/48110806?from=vacancy_search_list&query=Python,https://hh.ru
138,Python-разработчик,,,,https://krasnodar.hh.ru/vacancy/48417586?from=vacancy_search_list&query=Python,https://hh.ru
139,Python разработчик (FastAPI / aiohttp / sanic),,,,https://krasnodar.hh.ru/vacancy/48176688?from=vacancy_search_list&query=Python,https://hh.ru
140,Python Back-end Разработчик / Python Back-end Developer,,,,https://krasnodar.hh.ru/vacancy/46823861?from=vacancy_search_list&query=Python,https://hh.ru
141,Python Developer,,,,https://krasnodar.hh.ru/vacancy/48435662?from=vacancy_search_list&query=Python,https://hh.ru
